"('Big Ten', 49)","('SEC', 39)","('ACC', 84)","('Big 12', 101)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Pac-12', 'DNS')","('Sun Belt', 'DNS')"
"('Oregon', 1)","('Georgia', 2)","('Miami', 4)","('BYU', 9)","('Notre Dame', 10)","('Boise St', 12)","('Army', 18)","('Washington St', 20)","('Louisiana', 29.5)"
"('Ohio State', 3)","('Texas', 5)","('SMU', 13)","('Iowa State', 17)",,"('UNLV', 29.5)","('Tulane', 28)",,
"('Penn State', 6)","('Tennessee', 7)","('Clemson', 19)","('Colorado', 21)",,,,,
"('Indiana', 8)","('Alabama', 11)","('Pitt', 23)","('Kansas St', 22)",,,,,
"('Washington', 31)","('LSU', 14)","('Louisville', 25)","('Arizona St', 32)",,,,,
"('Iowa', 33.5)","('Texas A&M', 15)",,"('Texas Tech', 33.5)",,,,,
,"('Ole Miss', 16)",,,,,,,
,"('Vanderbilt', 24)",,,,,,,
,"('Missouri', 26)",,,,,,,
,"('South Carolina', 27)",,,,,,,
